"Timestamp","Which MSc will you be studying?","What is your study mode?","What subject (or the main subject) did you study for your first degree? Please choose the closest answer. ","Please indicate your *chief* motivation for undertaking the MSc. ","How would you describe your understanding of statistics?","How confident are you at programming?","Please indicate any programming languages with which you have basic familiarity","What are you most excited about regarding this module?","What concerns you the most regarding this module?"
"2020/09/19 12:26:42 am CET","MSc Data Science Analytics (DSA)","Full-time","Natural sciences e.g. chemistry or biology","To learn specific skills","2","1","None","Learning how to code and being able create data visualization aids.","With little or no background, i am worried i may be behind in class."
"2020/09/21 8:42:11 am CET","MSc Artificial Intelligence (AI)","Full-time","Computer science","Interest / academic curiosity","8","8","Python;Java or javascript;R","To be able to get a thorough understanding of R and use it for the analysis of data.","I do not know enough about the module - just yet - to have any major concerns.  "
"2020/09/21 9:04:48 pm CET","MSc Data Science Analytics (DSA)","Part-time","Psychology","To learn specific skills","4","4","None;SPSS","Learning R","That it will move too fast "
"2020/09/22 3:18:25 pm CET","MSc Data Science Analytics (DSA)","Full-time","Natural sciences e.g. chemistry or biology","Interest / academic curiosity","6","2","None","Learning different coding languages","My lack of knowledge using coding systems"
"2020/09/22 3:35:53 pm CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","To learn specific skills","6","4","C or C++;Matlab","Learning data analyse skills.","The requirement of programming skills."
"2020/09/22 6:54:37 pm CET","MSc Data Science Analytics (DSA)","Full-time","Business studies","To learn specific skills","5","3","Python;R","The programming and maths ","The programming and maths"
"2020/09/24 11:47:54 am CET","MSc Data Science Analytics (DSA)","Full-time","Maths","Enhance overall employability","8","6","Python;R","Programming aspects","Programming aspects"
"2020/09/24 5:40:01 pm CET","MSc Data Science Analytics (DSA)","Full-time","Engineering","Enhance overall employability","8","1","None","The challenge of learning new things","To be confident with using, writing and interpreting data, using modern programming tools."
"2020/09/24 7:05:18 pm CET","MSc Data Science Analytics (DSA)","Full-time","Humanities e.g, geography or history","Interest / academic curiosity","3","1","None","Gaining new skills ","lack of knowledge, keeping up with the work load and coping with the anxiety of working remotely, how effective communication with lecturers will be when facing difficulty "
"2020/09/25 8:48:39 am CET","MSc Data Science Analytics (DSA)","Part-time","Natural sciences e.g. chemistry or biology","Enhance overall employability","4","4","Python;R;C or C++","getting started!  ","Whether my brain will cope given it's old and it's been a long time since I studied at University level.  Whether I will understand the more complex statistics.  Whether I will find out whether I can manage the course before the 9th October when I have to make a large financial commitment to the course."
