LOC_BLANK,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,NUMBER_OF_LINES,LOC_TOTAL,Defective
6,-1,0,16.1,5,32,25,N
15,1,19,12,4,67,32,Y
27,4,22,16,5,83,33,Y
1,0,0,0,1,9,7,N
7,0,0,4,2,20,12,N
51,0,14,48,13,172,106,N
3,0,0,8,3,19,15,N
13,12,16,16,5,67,37,N
22,8,35,44,15,112,54,N
16,11,28,12,5,90,45,N
4,2,4,4,2,21,12,N
23,10,17,24,7,74,33,N
23,10,17,24,7,74,33,N
40,2,15,16,5,89,33,N
23,3,20,16,5,71,27,N
8,6,5,4,2,33,19,N
2,1,1,0,1,11,7,N
19,2,0,4,2,55,35,N
0,1,1,0,1,9,7,N
7,1,0,0,5,50,42,N
6,6,0,10,4,34,27,N
134,63,31,38,41,406,240,N
9,4,5,8,5,33,18,N
164,37,191,128,70,764,398,N
27,3,48,34,13,155,79,N
4,0,10,0,1,46,31,N
5,0,0,8,3,26,20,N
7,4,5,14,5,44,31,N
16,2,24,8,3,58,17,N
15,3,8,12,4,40,16,N
19,2,16,8,3,70,27,N
19,5,10,12,4,57,27,N
15,5,19,20,6,75,33,N
13,3,18,4,2,53,21,N
14,2,20,16,5,68,26,N
12,2,12,16,5,73,40,N
23,10,9,16,5,74,41,N
155,14,170,122,37,536,210,Y
42,5,44,20,6,124,37,N
30,6,45,36,10,153,77,Y
9,0,7,4,2,32,15,Y
26,5,32,28,9,126,67,N
40,3,47,20,6,132,44,N
7,0,6,0,2,22,8,N
7,0,8,12,4,41,25,N
93,11,57,48,13,305,154,Y
9,2,2,8,3,31,19,N
3,0,3,0,1,32,8,N
12,2,2,12,4,35,20,N
31,7,30,20,6,102,40,Y
62,7,46,12,4,215,99,Y
36,6,14,24,7,101,50,Y
0,1,2,0,1,10,7,N
39,4,28,24,7,120,52,N
77,4,31,36,10,240,131,N
55,0,23,12,4,100,21,N
17,0,34,42,12,117,65,N
12,1,8,4,2,54,33,N
13,1,20,16,5,58,24,N
3,1,6,4,2,19,9,N
22,1,1,28,11,88,64,N
12,1,0,12,4,36,23,N
15,1,1,24,7,54,37,N
5,1,2,4,2,32,24,N
12,1,1,16,5,35,21,N
9,4,0,12,4,31,21,N
27,3,1,44,15,105,76,N
7,4,1,4,2,19,10,N
10,5,1,12,4,34,22,N
22,3,1,36,13,91,67,N
3,0,0,10,4,24,20,N
3,0,0,16,6,28,24,N
3,0,0,16,6,28,24,N
0,0,0,6,3,10,9,N
0,0,0,10,5,10,9,N
0,0,0,6,3,10,9,N
7,0,1,0,1,21,12,Y
7,0,1,0,1,21,12,Y
0,0,0,4,2,15,14,N
39,9,14,16,5,146,69,N
5,0,2,0,1,18,10,N
9,10,6,8,3,42,26,N
4,0,4,4,2,21,12,N
3,0,0,4,2,17,13,N
55,3,91,12,30,283,136,Y
5,0,13,4,2,35,16,N
22,3,5,10,4,58,30,N
19,3,15,14,5,69,34,N
5,0,1,0,1,17,10,N
12,2,28,16,5,80,39,N
2,0,1,0,1,12,8,N
6,0,2,0,1,17,8,N
5,1,5,0,1,21,10,N
3,0,5,0,1,18,9,N
2,0,1,0,1,11,7,N
5,0,6,10,4,38,26,N
5,0,2,0,1,15,7,N
5,0,6,0,1,26,14,N
4,0,0,0,1,14,9,N
5,0,0,0,1,17,11,N
6,0,8,20,6,49,34,N
4,0,1,0,1,13,7,N
21,2,30,22,7,85,33,N
2,0,1,0,1,12,8,N
2,0,0,0,1,9,6,N
2,0,0,0,1,10,7,N
7,0,0,4,2,23,15,N
7,0,0,0,1,24,16,N
13,0,1,0,1,42,19,N
10,6,12,12,4,44,21,N
53,45,13,112,29,259,175,N
12,3,3,12,4,49,33,N
10,4,0,20,6,49,38,N
47,27,28,20,9,162,86,N
7,11,30,12,4,65,27,N
33,5,95,44,12,199,70,N
3,0,0,0,1,12,8,N
46,20,96,70,20,254,111,Y
5,0,3,8,3,29,20,N
0,0,0,0,1,7,6,N
9,6,6,36,10,80,64,Y
17,19,53,50,15,140,69,N
1,0,0,8,3,14,12,N
24,13,55,60,17,186,106,N
24,0,18,52,19,112,69,N
4,1,0,8,3,22,17,N
5,0,0,8,3,26,20,N
26,20,119,28,17,320,174,N
6,1,19,54,16,99,73,N
21,13,50,34,18,254,138,N
0,0,4,0,1,11,6,N
6,0,17,16,5,53,29,N
8,1,11,8,3,57,19,N
17,0,8,36,11,81,55,N
14,0,39,8,3,121,47,N
10,2,14,20,6,59,34,N
2,0,2,8,3,26,21,N
4,0,1,4,2,20,14,N
6,0,6,8,3,34,21,N
9,0,11,8,3,49,28,Y
0,0,0,0,1,11,10,N
0,0,0,0,1,7,6,N
0,0,0,0,1,13,12,N
2,0,9,4,2,30,18,N
3,2,13,4,4,55,38,N
22,12,33,78,32,228,172,N
10,0,62,64,20,222,149,Y
42,45,339,238,73,555,456,Y
0,0,0,0,1,7,8,N
0,0,0,0,1,7,6,N
0,0,0,0,1,7,6,N
0,0,0,0,1,13,12,N
0,0,0,0,1,13,12,N
0,0,0,0,1,10,9,N
0,0,0,0,1,7,6,N
0,0,0,0,1,7,6,N
0,0,0,0,1,7,6,N
16,3,29,54,15,170,124,Y
0,0,0,0,1,13,12,N
0,0,0,0,1,13,12,N
0,0,0,0,1,7,6,N
0,0,0,0,1,7,6,N
0,0,0,0,1,7,6,N
0,0,0,0,1,7,6,N
0,0,4,0,1,11,6,N
0,0,0,0,1,7,6,N
0,0,0,0,1,7,6,N
0,0,0,4,2,14,13,N
0,0,3,0,1,10,6,N
2,33,58,90,25,233,161,N
4,0,0,16,5,25,20,N
0,2,20,14,6,49,29,N
0,0,16,0,1,20,3,N
8,6,7,32,10,69,53,N
10,2,18,8,3,71,18,N
5,0,0,0,1,21,15,N
5,0,6,0,1,25,13,N
15,0,21,12,4,78,41,N
4,3,0,4,2,22,17,N
4,3,0,4,2,22,17,N
12,0,39,8,3,79,27,N
3,6,6,4,2,55,27,N
1,0,0,0,1,25,6,N
0,0,5,6,3,22,16,N
10,12,20,32,9,138,67,N
6,10,22,16,5,61,32,N
0,0,0,0,1,7,6,N
1,0,0,0,1,11,9,N
